entry_date,calories,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,trans_fat,cholesterol,sodium,potassium,carbohydrates,fiber,sugar,protein,vitamin_a,vitamin_c,calcium,iron,added_sugars,vitamin_d,sugar_alcohols
2018-08-08,1705.0,121.0,22.0,10.0,60.5,0.0,45.0,2610.0,50.0,151.0,26.0,16.0,27.0,32.0,6.0,6.0,8.0,0,0,0
2018-08-09,2173.879468,106.19582,33.7776,6.14944,34.7768,0.0,187.38909999999998,3514.487936,442.65999999999997,220.22400000000002,17.267999999999997,57.556799999999996,74.864444,115.5536,40.44,72.712,128.73164,0,0,0
2018-08-10,2775.663676,153.92174,43.547599999999996,9.14944,49.7768,0.0,261.0687,4574.8103519999995,322.66,256.284,29.037999999999997,73.5568,110.85530800000001,142.7536,101.24,76.712,56.80348,0,0,0
2018-08-11,2464.15,146.60750000000002,63.85259,2.7718350000000003,12.581705000000001,1.1,193.385,3702.305,1059.9,187.65149999999997,17.8,32.3968,100.1008,322.28340000000003,61.9075,59.2525,61.275277845,0,0,0
2018-08-12,3195.2,164.63,68.0312,2.5247,5.5013,1.1,271.0,4528.4,582.4,292.6,12.8,96.1,118.23,513.1,17.3,37.2,45.2,0,0,0
2018-08-13,1710.5,73.275,12.5,4.1875,21.125,0.0,31.875,789.625,684.5,152.85,20.8,45.55,60.85,101.5,470.7,16.3,80.0,0,0,0
2018-08-14,714.0,37.225,8.1,2.8,12.5,0.0,138.0,1445.25,157.0,50.75,7.55,9.8,48.8,86.4,69.0,8.8,23.6,0,0,0
2018-08-15,2350.8,109.49,21.35,2.8,12.5,0.0,152.4,2913.9,123.0,251.07999999999998,23.7,35.2,81.96000000000001,69.6,66.0,15.4,52.32,0,0,0
2018-08-16,1788.1956,96.255,27.481199999999998,9.5747,50.5013,0.0,117.5,2134.3,2441.95,128.42000000000002,24.08,16.75,55.11,573.5,85.5,21.34,43.0,0,0,0
2018-08-17,2623.5,134.05,43.125,2.8,12.5,0.2,282.25,4209.3,332.1,250.9,20.0,101.05,98.8,125.9,241.8,87.85000000000001,53.0,0,0,0
2018-08-18,2946.85,138.3875,54.04679,6.837035,32.582505,0.8,253.385,2773.3050000000003,2469.75,241.0515,27.0,70.4468,70.88080000000001,581.4834000000001,179.0075,46.8525,73.775277845,0,0,0
2018-08-19,2885.32,143.575,68.8,3.25,15.5,1.7000000000000002,478.5,5128.0,297.9,285.25,9.2,141.2,104.7,114.426,27.0,72.5,70.11111,0,0,0
2018-08-20,2206.5,88.78,36.468,8.064250000000001,35.50075,0.0,97.5,2203.75,2517.5,185.0,18.0,58.45,91.325,314.25,72.05,66.0,33.0,0,0,0
2018-08-21,1848.5,116.83,30.73,1.02375,0.50125,0.0,140.5,1988.75,1743.0,149.70000000000002,14.299999999999999,28.2,100.375,542.25,162.25,93.4,26.7,0,0,0
2018-08-22,1852.5,88.1765,37.2684,3.463,8.8438,0.0,248.25,2862.3,1133.1,190.617,18.32,84.74000000000001,83.074,429.2,130.2,120.0,35.699999999999996,0,0,0
2018-08-23,1970.4176,82.0196,30.024288,3.758784,6.2353472,0.0,187.5,3232.3704000000002,607.116,210.98000000000002,17.64512,46.451648,75.91928,46.0,165.0,61.06368,82.79143648,0,0,0
2018-08-24,2865.5,130.995,61.375,2.5,10.5,0.2,410.0,4935.75,102.5,324.21000000000004,19.15,152.75,104.71000000000001,130.0,53.5,162.0,89.5,0,0,0
2018-08-25,3592.65,171.53749999999997,46.43059,3.658335,18.509205,1.1,309.385,6121.805,146.65,401.5414999999999,23.700000000000003,122.3968,121.23080000000002,128.0834,62.9075,37.3525,50.435277845,0,0,0
2018-08-26,2784.0,126.464,47.28999999999999,5.11,27.0,6.1,266.0,2845.6000000000004,2341.7,282.09999999999997,27.400000000000002,82.28999999999999,82.5,38.3,75.17999999999999,39.2,65.6,0,0,0
2018-08-27,2338.4,106.16399999999999,20.3,17.0,22.5,0.0,35.0,2819.4,2265.2,264.4,42.3,56.5,83.5,32.0,129.0,26.0,110.5,0,0,0
2018-08-28,1959.75,110.75,36.125,4.75,25.5,0.0,198.75,1634.15,1470.535,164.935,17.89,64.72999999999999,80.94,67.25,173.75,43.81,131.48000000000002,0,0,0
2018-08-29,2638.88,116.08000000000001,40.6552,2.29888,9.0536,0.0,241.72,4751.4,995.12,344.968,36.116,118.11359999999999,69.08,164.3072,88.88,97.864,61.44,0,0,0
2018-08-30,2270.35,136.74,42.725,21.810000000000002,39.0,0.0,242.5,1596.4,2247.125,144.16500000000002,22.05,76.2,72.68,62.75,185.65,62.25,48.3,0,0,0
2018-08-31,2685.6,145.75,52.93,17.0,5.9,0.0,196.5,3674.5,2276.7,289.86,33.8,108.86,75.35,88.0,30.0,106.0,122.32,0,0,0
